node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	BRD4	9606.ENSP00000361423	9606.ENSP00000263377	0	0	0	0	0.072	0	0	0.448	0.466
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0.063	0.896	0.9	0.685	0.996
ABL1	DNMT3A	9606.ENSP00000361423	9606.ENSP00000264709	0	0	0	0	0.069	0.058	0	0.571	0.591
ABL1	NBN	9606.ENSP00000361423	9606.ENSP00000265433	0	0	0	0	0	0	0.5	0.134	0.548
ABL1	CDK6	9606.ENSP00000361423	9606.ENSP00000265734	0	0	0	0.614	0.073	0.098	0.4	0.227	0.56
ABL1	ERBB3	9606.ENSP00000361423	9606.ENSP00000267101	0	0	0	0.58	0	0.4	0	0.395	0.621
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.9	0.312	0.98
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	RASA1	9606.ENSP00000361423	9606.ENSP00000274376	0	0	0	0.548	0.049	0.299	0	0.275	0.474
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.79	0	0.347	0.861
ABL1	CDKN2B	9606.ENSP00000361423	9606.ENSP00000276925	0	0	0	0	0	0.095	0	0.431	0.463
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.9	0.145	0.91
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.82	0.75	0.774	0.988
ABL1	MYCN	9606.ENSP00000361423	9606.ENSP00000281043	0	0	0	0	0	0.06	0	0.42	0.431
ABL1	FLT1	9606.ENSP00000361423	9606.ENSP00000282397	0	0	0	0.577	0.105	0.074	0	0.4	0.459
ABL1	ERCC3	9606.ENSP00000361423	9606.ENSP00000285398	0	0	0	0	0.06	0	0	0.506	0.516
ABL1	CSF1R	9606.ENSP00000361423	9606.ENSP00000286301	0	0	0	0.604	0.055	0.074	0	0.504	0.528
ABL1	GNAQ	9606.ENSP00000361423	9606.ENSP00000286548	0	0	0	0	0.067	0	0	0.437	0.453
ABL1	KIT	9606.ENSP00000361423	9606.ENSP00000288135	0	0	0	0.598	0.056	0.181	0	0.601	0.664
ABL1	U2AF1	9606.ENSP00000361423	9606.ENSP00000291552	0	0	0	0	0	0	0	0.478	0.478
ABL1	FGFR4	9606.ENSP00000361423	9606.ENSP00000292408	0	0	0	0.654	0.055	0.074	0	0.378	0.408
ABL1	NPM1	9606.ENSP00000361423	9606.ENSP00000296930	0	0	0	0	0.064	0	0	0.697	0.704
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0.042	0	0.4	0.793	0.871
ABL1	IRS1	9606.ENSP00000361423	9606.ENSP00000304895	0	0	0	0	0.059	0.098	0	0.53	0.566
ABL1	TERT	9606.ENSP00000361423	9606.ENSP00000309572	0	0	0	0	0	0.049	0	0.599	0.603
ABL1	EZH2	9606.ENSP00000361423	9606.ENSP00000320147	0	0	0	0	0.043	0.077	0	0.59	0.606
ABL1	GSK3B	9606.ENSP00000361423	9606.ENSP00000324806	0	0	0	0.566	0.049	0	0	0.497	0.501
ABL1	MRE11	9606.ENSP00000361423	9606.ENSP00000325863	0	0	0	0	0	0.045	0.5	0.483	0.731
ABL1	IKZF1	9606.ENSP00000361423	9606.ENSP00000331614	0	0	0	0	0	0.071	0	0.841	0.845
ABL1	IDH2	9606.ENSP00000361423	9606.ENSP00000331897	0	0	0	0	0.044	0	0	0.593	0.594
ABL1	SMAD3	9606.ENSP00000361423	9606.ENSP00000332973	0	0	0	0	0.104	0.091	0	0.367	0.44
ABL1	EPHA3	9606.ENSP00000361423	9606.ENSP00000337451	0	0	0	0.616	0.074	0.292	0.9	0.441	0.958
ABL1	H3-5	9606.ENSP00000361423	9606.ENSP00000339835	0	0	0	0	0.07	0.095	0	0.419	0.468
ABL1	SMARCB1	9606.ENSP00000361423	9606.ENSP00000340883	0	0	0	0	0.063	0.046	0	0.511	0.525
ABL1	SMAD4	9606.ENSP00000361423	9606.ENSP00000341551	0	0	0	0	0.093	0.091	0	0.46	0.516
ABL1	ERBB4	9606.ENSP00000361423	9606.ENSP00000342235	0	0	0	0.596	0	0.4	0	0.5	0.687
ABL1	ATR	9606.ENSP00000361423	9606.ENSP00000343741	0	0	0	0	0	0.317	0	0.31	0.509
ABL1	GATA2	9606.ENSP00000361423	9606.ENSP00000345681	0	0	0	0	0.088	0.093	0	0.454	0.51
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.9	0.855	0.998
ABL1	RAC1	9606.ENSP00000361423	9606.ENSP00000348461	0	0	0	0	0.089	0.11	0.4	0.227	0.574
ABL1	PAX5	9606.ENSP00000361423	9606.ENSP00000350844	0	0	0	0	0.043	0	0	0.622	0.623
ABL1	NF1	9606.ENSP00000361423	9606.ENSP00000351015	0	0	0	0	0	0.092	0	0.52	0.545
ABL1	CASP8	9606.ENSP00000361423	9606.ENSP00000351273	0	0	0	0	0.064	0.067	0	0.443	0.471
ABL1	RAD52	9606.ENSP00000361423	9606.ENSP00000351284	0	0	0	0	0.042	0.05	0.75	0.311	0.822
ABL1	H3C12	9606.ENSP00000361423	9606.ENSP00000352252	0	0	0	0	0.07	0.095	0	0.424	0.473
ABL1	DNMT1	9606.ENSP00000361423	9606.ENSP00000352516	0	0	0	0	0.118	0.066	0	0.366	0.432
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.9	0.192	0.915
ABL1	TOP1	9606.ENSP00000361423	9606.ENSP00000354522	0	0	0	0	0	0.297	0	0.279	0.472
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.067	0.315	0	0.557	0.692
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	PRKN	9606.ENSP00000361423	9606.ENSP00000355865	0	0	0	0	0	0.561	0	0.316	0.687
ABL1	MDM4	9606.ENSP00000361423	9606.ENSP00000356150	0	0	0	0	0	0.298	0	0.369	0.538
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0.086	0	0	0.741	0.753
ABL1	NRAS	9606.ENSP00000361423	9606.ENSP00000358548	0	0	0	0	0.081	0.11	0	0.667	0.704
ABL1	GNAS	9606.ENSP00000361423	9606.ENSP00000360141	0	0	0	0	0	0.067	0	0.48	0.494
ABL1	XIAP	9606.ENSP00000361423	9606.ENSP00000360242	0	0	0	0	0	0.092	0	0.621	0.641
ABL1	JUN	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0.049	0.532	0	0.554	0.784
ABL1	PTEN	9606.ENSP00000361423	9606.ENSP00000361021	0	0	0	0	0.048	0.092	0	0.627	0.65
ABL1	PIK3CD	9606.ENSP00000361423	9606.ENSP00000366563	0	0	0	0	0	0.069	0	0.385	0.403
ABL1	AKT1	9606.ENSP00000361423	9606.ENSP00000451828	0	0	0	0.577	0.102	0	0	0.369	0.409
ABL1	XPO1	9606.ENSP00000361423	9606.ENSP00000384863	0	0	0	0	0	0.052	0	0.404	0.411
ABL1	PRKAR1A	9606.ENSP00000361423	9606.ENSP00000376475	0	0	0	0	0.069	0	0	0.394	0.412
ABL1	LATS2	9606.ENSP00000361423	9606.ENSP00000372035	0	0	0	0.549	0.062	0.3	0	0.178	0.413
ABL1	CD274	9606.ENSP00000361423	9606.ENSP00000370989	0	0	0	0	0.063	0	0	0.419	0.432
ABL1	BCL6	9606.ENSP00000361423	9606.ENSP00000384371	0	0	0	0	0.086	0.071	0	0.419	0.463
ABL1	TMPRSS2	9606.ENSP00000361423	9606.ENSP00000381588	0	0	0	0	0.051	0.096	0	0.428	0.467
ABL1	MAP3K1	9606.ENSP00000361423	9606.ENSP00000382423	0	0	0	0.55	0	0.07	0	0.459	0.476
ABL1	RHOA	9606.ENSP00000361423	9606.ENSP00000400175	0	0	0	0	0.079	0.11	0	0.411	0.476
ABL1	JAK1	9606.ENSP00000361423	9606.ENSP00000499900	0	0	0	0.574	0.064	0.292	0	0.28	0.482
ABL1	GATA1	9606.ENSP00000361423	9606.ENSP00000365858	0	0	0	0	0.055	0.093	0	0.445	0.483
ABL1	CHEK1	9606.ENSP00000361423	9606.ENSP00000391090	0	0	0	0	0	0.067	0	0.48	0.494
ABL1	TGFBR1	9606.ENSP00000361423	9606.ENSP00000447297	0	0	0	0.577	0.073	0	0	0.477	0.494
ABL1	IRS2	9606.ENSP00000361423	9606.ENSP00000365016	0	0	0	0	0.047	0.098	0	0.459	0.494
ABL1	RAD50	9606.ENSP00000361423	9606.ENSP00000368100	0	0	0	0	0.044	0	0.5	0	0.501
ABL1	MPL	9606.ENSP00000361423	9606.ENSP00000361548	0	0	0	0	0	0.045	0	0.507	0.509
ABL1	AR	9606.ENSP00000361423	9606.ENSP00000363822	0	0	0	0	0.042	0.178	0	0.428	0.511
ABL1	BRCA2	9606.ENSP00000361423	9606.ENSP00000369497	0	0	0	0	0	0.137	0	0.46	0.514
ABL1	IGF1R	9606.ENSP00000361423	9606.ENSP00000497069	0	0	0	0.604	0.049	0	0	0.522	0.525
ABL1	MEF2B	9606.ENSP00000361423	9606.ENSP00000402154	0	0	0	0	0	0	0.5	0.093	0.527
ABL1	RAF1	9606.ENSP00000361423	9606.ENSP00000401888	0	0	0	0.59	0.044	0	0	0.531	0.532
ABL1	BCL2L11	9606.ENSP00000361423	9606.ENSP00000376943	0	0	0	0	0	0	0	0.542	0.542
ABL1	ESR1	9606.ENSP00000361423	9606.ENSP00000405330	0	0	0	0	0	0.071	0	0.528	0.543
ABL1	CCND3	9606.ENSP00000361423	9606.ENSP00000362082	0	0	0	0	0	0	0.4	0.321	0.575
ABL1	RYBP	9606.ENSP00000361423	9606.ENSP00000419494	0	0	0	0	0.053	0.292	0	0.437	0.589
ABL1	SYK	9606.ENSP00000361423	9606.ENSP00000364898	0	0	0	0.73	0.053	0	0	0.592	0.597
ABL1	PTPN11	9606.ENSP00000361423	9606.ENSP00000489597	0	0	0	0.556	0.063	0.097	0	0.568	0.603
ABL1	TET2	9606.ENSP00000361423	9606.ENSP00000442788	0	0	0	0	0	0	0	0.604	0.604
ABL1	RAD51B	9606.ENSP00000361423	9606.ENSP00000419881	0	0	0	0	0	0.294	0	0.47	0.61
ABL1	WT1	9606.ENSP00000361423	9606.ENSP00000368370	0	0	0	0	0.044	0.071	0	0.598	0.611
ABL1	IDH1	9606.ENSP00000361423	9606.ENSP00000390265	0	0	0	0	0	0	0	0.614	0.614
ABL1	NOTCH1	9606.ENSP00000361423	9606.ENSP00000498587	0	0	0	0	0.08	0.113	0	0.596	0.641
ABL1	CRLF2	9606.ENSP00000361423	9606.ENSP00000370978	0	0	0	0	0	0.071	0	0.66	0.67
ABL1	BCL2	9606.ENSP00000361423	9606.ENSP00000381185	0	0	0	0	0.055	0	0	0.668	0.673
ABL1	ASXL1	9606.ENSP00000361423	9606.ENSP00000364839	0	0	0	0	0.081	0.098	0	0.643	0.678
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0.078	0.877	0.107	0.591	0	0.161	0.68
ABL1	KMT2A	9606.ENSP00000361423	9606.ENSP00000436786	0	0	0	0	0.05	0.077	0	0.668	0.684
ABL1	CBFB	9606.ENSP00000361423	9606.ENSP00000415151	0	0	0	0	0.042	0	0.4	0.507	0.691
ABL1	FBXW7	9606.ENSP00000361423	9606.ENSP00000474725	0	0	0	0	0	0.091	0	0.703	0.718
ABL1	BCL2L1	9606.ENSP00000361423	9606.ENSP00000365230	0	0	0	0	0.055	0.292	0	0.618	0.722
ABL1	SOCS1	9606.ENSP00000361423	9606.ENSP00000496577	0	0	0	0	0.109	0.45	0	0.544	0.757
ABL1	CDKN2A	9606.ENSP00000361423	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.749	0.763
ABL1	HRAS	9606.ENSP00000361423	9606.ENSP00000407586	0	0	0	0	0.081	0.11	0	0.755	0.782
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0.062	0.793	0	0.203	0.832
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0.105	0.296	0.4	0.716	0.878
ABL1	YAP1	9606.ENSP00000361423	9606.ENSP00000478927	0	0	0	0	0.073	0.314	0.75	0.37	0.886
ABL1	RAD51	9606.ENSP00000361423	9606.ENSP00000493712	0	0	0	0	0	0.642	0	0.772	0.915
ABL1	ETV6	9606.ENSP00000361423	9606.ENSP00000379658	0	0	0	0	0.044	0.074	0	0.93	0.932
ABL1	EPHB1	9606.ENSP00000361423	9606.ENSP00000381097	0	0	0	0.626	0.074	0.043	0.9	0.412	0.94
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.5	0.785	0.949
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.5	0.847	0.956
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.51	0.9	0.212	0.958
ABL1	EPHA5	9606.ENSP00000361423	9606.ENSP00000480763	0	0	0	0.61	0.074	0	0.9	0.633	0.963
ABRAXAS1	MLH1	9606.ENSP00000369857	9606.ENSP00000231790	0	0	0	0	0.056	0	0	0.479	0.487
ABRAXAS1	MSH2	9606.ENSP00000369857	9606.ENSP00000233146	0	0	0	0	0.083	0	0	0.506	0.527
ABRAXAS1	MSH6	9606.ENSP00000369857	9606.ENSP00000234420	0	0	0	0	0.049	0	0	0.541	0.544
ABRAXAS1	BRIP1	9606.ENSP00000369857	9606.ENSP00000259008	0	0	0	0	0.045	0.292	0	0.558	0.675
ABRAXAS1	BARD1	9606.ENSP00000369857	9606.ENSP00000260947	0	0	0	0	0.042	0.994	0.9	0.993	0.999
ABRAXAS1	PALB2	9606.ENSP00000369857	9606.ENSP00000261584	0	0	0	0	0.05	0	0	0.699	0.701
ABRAXAS1	NBN	9606.ENSP00000369857	9606.ENSP00000265433	0	0	0	0	0	0	0.5	0.566	0.773
ABRAXAS1	PMS2	9606.ENSP00000369857	9606.ENSP00000265849	0	0	0	0	0.042	0	0	0.529	0.529
ABRAXAS1	ATM	9606.ENSP00000369857	9606.ENSP00000278616	0	0	0	0	0.058	0	0.5	0.582	0.785
ABRAXAS1	FANCC	9606.ENSP00000369857	9606.ENSP00000289081	0	0	0	0	0	0	0	0.642	0.642
ABRAXAS1	H2BC5	9606.ENSP00000369857	9606.ENSP00000289316	0	0	0	0	0.043	0	0.5	0.076	0.519
ABRAXAS1	STK11	9606.ENSP00000369857	9606.ENSP00000324856	0	0	0	0	0	0	0	0.4	0.4
ABRAXAS1	MRE11	9606.ENSP00000369857	9606.ENSP00000325863	0	0	0	0	0.067	0	0.5	0.691	0.843
ABRAXAS1	RAD51C	9606.ENSP00000369857	9606.ENSP00000336701	0	0	0	0	0.05	0	0	0.712	0.714
ABRAXAS1	PARP1	9606.ENSP00000369857	9606.ENSP00000355759	0	0	0	0	0	0.342	0	0.348	0.552
ABRAXAS1	MDC1	9606.ENSP00000369857	9606.ENSP00000365588	0	0	0	0	0	0.443	0.5	0.748	0.923
ABRAXAS1	RAD50	9606.ENSP00000369857	9606.ENSP00000368100	0	0	0	0	0.066	0	0.5	0	0.513
ABRAXAS1	BRCA2	9606.ENSP00000369857	9606.ENSP00000369497	0	0	0	0	0.048	0	0	0.754	0.755
ABRAXAS1	FANCA	9606.ENSP00000369857	9606.ENSP00000373952	0	0	0	0	0	0	0	0.447	0.447
ABRAXAS1	CHEK1	9606.ENSP00000369857	9606.ENSP00000391090	0	0	0	0	0.049	0	0	0.446	0.45
ABRAXAS1	MUTYH	9606.ENSP00000369857	9606.ENSP00000500891	0	0	0	0	0	0	0	0.507	0.507
ABRAXAS1	BAP1	9606.ENSP00000369857	9606.ENSP00000417132	0	0	0	0	0	0	0.5	0.117	0.54
ABRAXAS1	RAD51B	9606.ENSP00000369857	9606.ENSP00000419881	0	0	0	0	0	0	0	0.541	0.541
ABRAXAS1	RAD51D	9606.ENSP00000369857	9606.ENSP00000466399	0	0	0	0	0.066	0	0	0.712	0.719
ABRAXAS1	RAD51	9606.ENSP00000369857	9606.ENSP00000493712	0	0	0	0	0.049	0.191	0	0.671	0.724
ABRAXAS1	CHEK2	9606.ENSP00000369857	9606.ENSP00000372023	0	0	0	0	0.048	0	0.5	0.595	0.79
ABRAXAS1	BRCA1	9606.ENSP00000369857	9606.ENSP00000418960	0	0	0	0	0.056	0.994	0.9	0.997	0.999
AKT1	INPP4A	9606.ENSP00000451828	9606.ENSP00000074304	0	0	0	0	0.054	0	0	0.406	0.414
AKT1	GNA11	9606.ENSP00000451828	9606.ENSP00000078429	0	0	0	0	0.099	0	0	0.528	0.556
AKT1	FGF4	9606.ENSP00000451828	9606.ENSP00000168712	0	0	0	0	0	0	0	0.664	0.664
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.11	0.9	0.872	0.988
AKT1	AURKA	9606.ENSP00000451828	9606.ENSP00000216911	0	0	0	0.716	0	0.24	0	0.526	0.624
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.125	0.314	0.9	0.856	0.99
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.9	0.677	0.971
AKT1	HGF	9606.ENSP00000451828	9606.ENSP00000222390	0	0	0	0	0	0.096	0.5	0.761	0.882
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0.121	0.797	0.9	0.842	0.996
AKT1	MLH1	9606.ENSP00000451828	9606.ENSP00000231790	0	0	0	0	0.047	0	0	0.492	0.495
AKT1	MSH2	9606.ENSP00000451828	9606.ENSP00000233146	0	0	0	0	0.044	0.367	0	0.433	0.627
AKT1	MSH6	9606.ENSP00000451828	9606.ENSP00000234420	0	0	0	0	0.049	0.045	0	0.42	0.427
AKT1	FLT3	9606.ENSP00000451828	9606.ENSP00000241453	0	0	0	0	0.056	0.074	0	0.664	0.68
AKT1	SOX9	9606.ENSP00000451828	9606.ENSP00000245479	0	0	0	0	0	0.054	0	0.565	0.571
AKT1	SMO	9606.ENSP00000451828	9606.ENSP00000249373	0	0	0	0	0	0.071	0	0.584	0.597
AKT1	MYOD1	9606.ENSP00000451828	9606.ENSP00000250003	0	0	0	0	0	0	0	0.583	0.583
AKT1	FOXA1	9606.ENSP00000451828	9606.ENSP00000250448	0	0	0	0	0.042	0.091	0	0.665	0.683
AKT1	RARA	9606.ENSP00000451828	9606.ENSP00000254066	0	0	0	0	0.134	0.525	0	0.475	0.765
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.11	0	0.893	0.904
AKT1	VHL	9606.ENSP00000451828	9606.ENSP00000256474	0	0	0	0	0.067	0.304	0	0.445	0.608
AKT1	NOTCH2	9606.ENSP00000451828	9606.ENSP00000256646	0	0	0	0	0.125	0.098	0	0.521	0.589
AKT1	PDGFRA	9606.ENSP00000451828	9606.ENSP00000257290	0	0	0	0.56	0.056	0.205	0	0.37	0.486
AKT1	APC	9606.ENSP00000451828	9606.ENSP00000257430	0	0	0	0	0	0.097	0	0.44	0.472
AKT1	CDK4	9606.ENSP00000451828	9606.ENSP00000257904	0	0	0.112	0.601	0.068	0.231	0	0.572	0.691
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.9	0.98	0.999
AKT1	CCND2	9606.ENSP00000451828	9606.ENSP00000261254	0	0	0	0	0.085	0.184	0	0.607	0.681
AKT1	CDH1	9606.ENSP00000451828	9606.ENSP00000261769	0	0	0	0	0	0.165	0	0.889	0.903
AKT1	PDGFRB	9606.ENSP00000451828	9606.ENSP00000261799	0	0	0	0.559	0.074	0.074	0	0.41	0.45
AKT1	PIK3C3	9606.ENSP00000451828	9606.ENSP00000262039	0	0	0	0	0.049	0.053	0	0.775	0.78
AKT1	SMAD2	9606.ENSP00000451828	9606.ENSP00000262160	0	0	0	0	0.069	0.45	0	0.853	0.918
AKT1	KMT2C	9606.ENSP00000451828	9606.ENSP00000262189	0	0	0	0	0.044	0.045	0	0.399	0.403
AKT1	AXIN1	9606.ENSP00000451828	9606.ENSP00000262320	0	0	0	0	0.232	0.127	0	0.88	0.912
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0.08	0.513	0	0.7	0.854
AKT1	CCNE1	9606.ENSP00000451828	9606.ENSP00000262643	0	0	0	0	0	0.198	0	0.601	0.667
AKT1	CDKN2C	9606.ENSP00000451828	9606.ENSP00000262662	0	0	0	0	0.067	0.218	0	0.353	0.487
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.9	0.61	0.962
AKT1	E2F3	9606.ENSP00000451828	9606.ENSP00000262904	0	0	0	0	0.062	0.057	0	0.507	0.526
AKT1	MAP2K2	9606.ENSP00000451828	9606.ENSP00000262948	0	0	0	0.63	0.157	0.161	0	0.471	0.593
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0.066	0.821	0	0.749	0.954
AKT1	BRD4	9606.ENSP00000451828	9606.ENSP00000263377	0	0	0	0	0.049	0	0	0.486	0.49
AKT1	NOTCH3	9606.ENSP00000451828	9606.ENSP00000263388	0	0	0	0	0.089	0.098	0	0.518	0.57
AKT1	EPCAM	9606.ENSP00000451828	9606.ENSP00000263735	0	0	0	0	0	0	0	0.57	0.57
AKT1	KDR	9606.ENSP00000451828	9606.ENSP00000263923	0	0	0	0.56	0.056	0.074	0	0.701	0.715
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.06	0.738	0.9	0.951	0.998
AKT1	CBL	9606.ENSP00000451828	9606.ENSP00000264033	0	0	0	0	0.049	0.13	0	0.75	0.775
AKT1	CUL3	9606.ENSP00000451828	9606.ENSP00000264414	0	0	0	0	0.067	0.071	0	0.476	0.506
AKT1	DNMT3A	9606.ENSP00000451828	9606.ENSP00000264709	0	0	0	0	0.049	0.058	0	0.506	0.518
AKT1	SDHA	9606.ENSP00000451828	9606.ENSP00000264932	0	0	0	0	0.066	0.045	0.113	0.384	0.448
AKT1	CDK6	9606.ENSP00000451828	9606.ENSP00000265734	0	0	0	0.603	0.042	0.228	0	0.307	0.443
AKT1	PMS2	9606.ENSP00000451828	9606.ENSP00000265849	0	0	0	0	0.049	0.172	0	0.375	0.465
AKT1	DAXX	9606.ENSP00000451828	9606.ENSP00000266000	0	0	0	0	0.049	0.098	0	0.401	0.441
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.328	0	0.791	0.854
AKT1	RB1	9606.ENSP00000451828	9606.ENSP00000267163	0	0	0	0	0.06	0.045	0	0.576	0.586
AKT1	NCOR1	9606.ENSP00000451828	9606.ENSP00000268712	0	0	0	0	0.049	0.045	0	0.629	0.633
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.9	0.934	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.561	0.06	0.222	0	0.436	0.552
AKT1	RASA1	9606.ENSP00000451828	9606.ENSP00000274376	0	0	0	0	0.06	0	0	0.901	0.902
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.559	0.042	0.64	0	0.445	0.792
AKT1	CDKN2B	9606.ENSP00000451828	9606.ENSP00000276925	0	0	0	0	0	0.226	0	0.48	0.58
AKT1	PAK1	9606.ENSP00000451828	9606.ENSP00000278568	0	0	0	0.642	0.07	0.715	0	0.981	0.994
AKT1	ATM	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0.042	0	0	0.742	0.742
AKT1	MYCN	9606.ENSP00000451828	9606.ENSP00000281043	0	0	0	0	0	0.06	0	0.794	0.798
AKT1	FLT1	9606.ENSP00000451828	9606.ENSP00000282397	0	0	0	0.564	0.056	0.074	0	0.59	0.61
AKT1	CSF1R	9606.ENSP00000451828	9606.ENSP00000286301	0	0	0	0	0.076	0.074	0	0.575	0.604
